N,Z,A,B_exp,B_BWN_published,residual
38,22,60,489.167148,491.00848841670893,-1.8413404167089311
37,23,60,499.37250599999993,500.70251258443545,-1.330006584435523
36,24,60,512.411256,512.6501500293047,-0.2388940293046744
35,25,60,517.688352,517.3544344655372,0.3339175344627847
34,26,60,525.3512340000001,524.9083306043226,0.44290339567749015
33,27,60,524.806152,524.3471873496858,0.45896465031421485
32,28,60,526.846614,527.3376532112554,-0.49103921125538363
31,29,60,519.936282,519.547355127132,0.38892687286795535
30,30,60,514.983144,515.1075067079281,-0.12436270792807136
38,23,61,504.5335437,505.72921213908506,-1.1956684390850683
37,24,61,516.0705773999999,516.5244314998816,-0.45385409988170977
36,25,61,524.5338576999999,524.6317869265464,-0.09792922654651193
35,26,61,530.9298846,530.7111704986846,0.21871410131541325
34,27,61,534.125211,533.8924953317475,0.23271566825258105
33,28,61,534.6667141,535.1560785617421,-0.4893644617420705
32,29,61,531.6464028,531.5021734323702,0.14422936762980498
31,30,61,525.2288978,525.5727718911588,-0.34387409115879564
30,31,61,515.2323093,515.2925234047111,-0.06021410471112176
39,23,62,507.640903,508.6347179564048,-0.9938149564048331
38,24,62,522.4980002,522.5822468506752,-0.08424665067525439
37,25,62,529.3870124,529.4639130770476,-0.0769006770475471
36,26,62,538.9587521999999,538.9709652713378,-0.012213071337896508
35,27,62,540.7227514,540.6275752258887,0.09517617411131596
34,28,62,545.262441,545.6409062450373,-0.3784652450373187
33,29,62,540.5212018,540.1826522475411,0.33854955245885776
32,30,62,538.1193962000001,538.4903265764179,-0.37093037641784576
31,31,62,528.1559838,527.4717527087114,0.6842310912885523
40,23,63,512.2391967,513.3141901401219,-1.0749934401219434
39,24,63,525.8950074,525.737750951739,0.15725644826102325
38,25,63,535.8214260000001,535.861273781869,-0.0398477818689571
37,26,63,543.7876437,544.0280511378478,-0.24040743784780716
36,27,63,549.2212236,549.2341490013911,-0.012925401391044034
35,28,63,552.1002165000001,552.6266174097489,-0.5264009097487587
34,29,63,551.3848452,551.0267723162559,0.35807288374405744
33,30,63,547.2360557999999,547.5007648687898,-0.2647090687898981
32,31,63,540.7873821000001,541.2480173557892,-0.46063525578915687
31,32,63,530.3791521,530.7113390810712,-0.33218698107111777
40,24,64,531.4280064,531.4331563314614,-0.005149931461460255
39,25,64,539.9947199999999,539.972075540007,0.022644459992875454
38,26,64,551.1928832000001,551.4094530553755,-0.21656985537538276
37,27,64,555.2334272,555.2216369550504,0.011790244949679618
36,28,64,561.7576768,562.1696872216071,-0.41201042160707857
35,29,64,559.3007104,558.8721865220843,0.42852387791560886
34,30,64,559.0979648,559.2148002048999,-0.11683540489991628
33,31,64,551.1444288,551.210270895649,-0.06584209564903176
32,32,64,545.8447552,546.202891320763,-0.3581361207629925
40,25,65,546.044343,546.0178479222051,0.026495077794947974
39,26,65,555.5125549999999,555.7419611509071,-0.22940615090715255
38,27,65,562.697512,562.9331624928745,-0.2356504928745835
37,28,65,567.8557559999999,568.3815745464942,-0.5258185464942926
36,29,65,569.2112855,568.7390430374046,0.4722424625954318
35,30,65,567.07729,567.3091293320929,-0.23183933209293173
34,31,65,563.0404064999999,563.3664042844658,-0.3259977844659261
33,32,65,556.078796,556.9249418714396,-0.8461458714396031
32,33,65,545.7552815,546.1345298155185,-0.3792483155184527
41,25,66,549.8987076,549.9234643736652,-0.024756773665217224
40,26,66,562.4338170000001,562.7667576920841,-0.33294069208398014
39,27,66,567.9921654,568.1956349722088,-0.20346957220885997
38,28,66,576.8075676,577.0329640160778,-0.22539641607784233
37,29,66,576.277218,575.8186494759918,0.45856852400811476
36,30,66,578.135811,578.0434646084185,0.09234639158148639
35,31,66,572.1779646000001,572.3068091075907,-0.1288445075905429
34,32,66,569.2789277999999,570.0486633431225,-0.7697355431225787
33,33,66,558.9146244,558.5337743932524,0.38085000674755065
41,26,67,566.1457053,566.8911634405974,-0.7454581405974068
40,27,67,574.9767274000001,575.5280318593053,-0.5513044593052427
39,28,67,582.6152835,582.506991916938,0.108291583062055
38,29,67,585.4097998999999,584.7740454010859,0.6357544989140251
37,30,67,585.1882777999999,585.3378261279661,-0.14954832796615847
36,31,67,583.404711,583.3943964635586,0.010314536441455857
35,32,67,578.4169228000001,579.3390999192702,-0.9221771192701453
34,33,67,571.5480895,572.5053728096892,-0.9572833096892737
33,34,67,560.7588048,561.4638130391712,-0.7050082391712067
41,27,68,579.3688468,580.565039433875,-1.1961926338749436
40,28,68,590.4077356,590.7713996105941,-0.3636640105941069
39,29,68,591.7286083999999,591.1237657104268,0.6048426895730472
38,30,68,595.386376,595.1703179742786,0.2160580257213951
37,31,68,591.682926,591.5246334302742,0.15829256972574512
36,32,68,590.7933227999999,591.2891301747734,-0.49580737477344883
35,33,68,581.9267076,582.7395967065495,-0.8128891065495054
34,34,68,576.4392776,577.0970864535543,-0.6578088535543429
42,27,69,586.1830277999999,587.0726205123818,-0.8895927123819547
41,28,69,594.9938861999999,596.0032727670452,-1.0093865670453397
40,29,69,599.9691036,599.6921475565866,0.2769560434134064
