method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_bwn,S2n,76,0.39556584909881787,0.5719862246485143,-0.018374382904289933,0.27782984995150173,1.2528725531386442,R0_random
B_bwn,Sp,86,0.27026982899503815,0.41297362231926754,0.019736474797059072,0.1773961061786622,0.8191873633635254,R0_random
B_bwn,S2p,82,0.3170543538017841,0.44274516145688475,0.08609649042266199,0.24751397966218747,0.8502359534267898,R0_random
B_bwn,Qalpha,0,,,,,,R0_random
B_bwn,delta2n,11,0.2992646964998368,0.3767663599315689,0.10575859366979433,0.2171237592426678,0.7173708068321503,R0_random
B_bwn,delta2p,12,0.2721369123360849,0.34052386912269256,-0.11775248880436114,0.2351308822807141,0.6229502549065612,R0_random
B_semf,Sn,18,1.0560095205143005,1.2624775891030469,-0.2974187499949797,0.9277568170529094,2.1263929147473446,R1_Ca
B_semf,S2n,17,1.9599261122291844,2.247769735916335,-0.7105185297082945,1.8555136341058187,3.8086918842220028,R1_Ca
B_semf,Sp,0,,,,,,R1_Ca
B_semf,S2p,0,,,,,,R1_Ca
B_semf,Qalpha,0,,,,,,R1_Ca
B_semf,delta2n,15,2.003486022627529,2.3153821104311727,0.3743337348268066,2.2148774552889563,3.5859461035192726,R1_Ca
B_semf,delta2p,0,,,,,,R1_Ca
B_hgb_data,Sn,18,2.345649709079377,2.7894396908922987,-0.49330784798315286,1.9412884200229712,4.52990536487458,R1_Ca
B_hgb_data,S2n,17,2.004052643592806,2.579025917273386,-0.6348478766110341,1.26576076300546,4.329931934069348,R1_Ca
B_hgb_data,Sp,0,,,,,,R1_Ca
B_hgb_data,S2p,0,,,,,,R1_Ca
B_hgb_data,Qalpha,0,,,,,,R1_Ca
B_hgb_data,delta2n,15,2.9217842095927797,3.816490365465537,-0.6891059502800355,3.037463911807208,6.812982906087882,R1_Ca
B_hgb_data,delta2p,0,,,,,,R1_Ca
B_hgb_soft,Sn,18,1.1565923223790486,1.3692993720423048,-0.3757743891902471,1.025372653698554,2.1817238581982026,R1_Ca
B_hgb_soft,S2n,17,1.373871483955193,1.7498776846598803,-0.6802502684693884,0.844779606806128,3.040715840618486,R1_Ca
B_hgb_soft,Sp,0,,,,,,R1_Ca
B_hgb_soft,S2p,0,,,,,,R1_Ca
B_hgb_soft,Qalpha,0,,,,,,R1_Ca
B_hgb_soft,delta2n,15,2.077947142641536,2.5830631372155164,-0.051042139215936304,1.8146107869186494,4.272685328693415,R1_Ca
B_hgb_soft,delta2p,0,,,,,,R1_Ca
B_hgb_residual,Sn,18,0.37235404611192596,0.531091408882529,0.04162983344626999,0.24707269073414295,0.9180166587997111,R1_Ca
B_hgb_residual,S2n,17,0.5081596943767596,0.6384445374959328,-0.005734902016135546,0.3385882819021049,1.046756135297903,R1_Ca
B_hgb_residual,Sp,0,,,,,,R1_Ca
B_hgb_residual,S2p,0,,,,,,R1_Ca
B_hgb_residual,Qalpha,0,,,,,,R1_Ca
B_hgb_residual,delta2n,15,0.8438088158629019,1.036256774585287,-0.04641577445142199,0.7143465663252755,1.6927544788182718,R1_Ca
B_hgb_residual,delta2p,0,,,,,,R1_Ca
B_hgb_adaptive,Sn,18,1.3860974828216936,1.6713326867706202,-0.3798703185854511,1.3914905752485538,2.780968117503977,R1_Ca
B_hgb_adaptive,S2n,17,1.5177092233634037,1.8248910103270102,-0.6150412668600458,1.1706241907262438,3.435836624988053,R1_Ca
B_hgb_adaptive,Sp,0,,,,,,R1_Ca
B_hgb_adaptive,S2p,0,,,,,,R1_Ca
B_hgb_adaptive,Qalpha,0,,,,,,R1_Ca
B_hgb_adaptive,delta2n,15,2.332671767252854,2.9028786888590523,-0.2623452543505929,1.9008078126457804,5.218093052639131,R1_Ca
B_hgb_adaptive,delta2p,0,,,,,,R1_Ca
