vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2012,48,40,88,Zr,True,12353.086999999941,21802.33400000003,7898.948000000091,13683.074000000022,-5403.707999999984,514.5100000001257,2560.5700000001816
2012,47,41,88,Nb,True,10374.046999999904,23185.71399999992,4118.398999999859,11470.707999999984,-4707.431999999913,556.8419999998296,2344.085999999894
2012,46,42,88,Mo,True,13873.102999999886,24718.929999999935,6102.262999999919,9295.861999999965,-3690.9000000000233,1089.954000000027,2520.6459999999497
2012,45,43,88,Tc,True,12062.576000000001,,2085.5029999999097,7126.329999999958,,,
2012,44,44,88,Ru,False,,,,,,,
2012,57,32,89,Ge,False,,,,,,,
2012,56,33,89,As,False,,,,,,,
2012,55,34,89,Se,True,3179.478999999934,8708.91399999999,,,-8293.890999999945,,
2012,54,35,89,Br,True,5629.5950000000885,10525.160999999964,11678.978999999934,27234.293999999994,-7510.030999999959,1549.4989999999525,3185.4830000000075
2012,53,36,89,Kr,True,4915.822999999975,11968.914000000106,13108.799000000115,24687.618000000017,-6547.035000000033,1388.1080000001239,2993.0730000000913
2012,52,37,89,Rb,True,7174.523000000045,13257.121999999974,9309.930999999982,22398.472999999998,-5561.662999999942,1081.6230000000214,3180.939000000013
2012,51,38,89,Sr,True,6358.694999999949,17471.345999999903,10888.670999999973,20077.170000000042,-7153.360999999917,3885.0569999999134,3811.841000000015
2012,50,39,89,Y,True,11481.674999999814,20833.41499999992,7076.7469999998575,17689.32199999981,-7966.697999999742,6048.080999999773,4181.900999999605
2012,49,40,89,Zr,True,9319.375999999931,21672.462999999872,7866.583999999915,14574.306999999913,-6198.061999999918,2510.0949999998556,2664.001999999862
2012,48,41,89,Nb,True,12520.75800000003,22894.804999999935,4286.069999999949,12185.01800000004,-5208.206000000006,738.9869999998482,2246.222999999998
2012,47,42,89,Mo,True,10399.67200000002,24272.774999999907,6127.888000000035,10246.286999999895,-4265.790999999968,936.293999999878,2443.6879999999655
2012,46,43,89,Tc,True,13784.871000000043,25847.447000000044,1997.2710000000661,8099.533999999985,-3540.0800000000745,1113.3810000000522,
2012,45,44,89,Ru,False,,,,,,,
2012,44,45,89,Rh,False,,,,,,,
2012,58,32,90,Ge,False,,,,,,,
2012,57,33,90,As,False,,,,,,,
2012,56,34,90,Se,True,4879.1089999999385,8058.587999999872,,,,,
2012,55,35,90,Br,True,3797.408999999985,9427.004000000074,12296.908999999985,,-7463.074000000022,1051.9320000000298,
2012,54,36,90,Kr,True,6494.775000000023,11410.597999999998,13973.97900000005,25652.957999999984,-6880.957999999984,1457.9000000000233,3166.8240000001388
2012,53,37,90,Rb,True,5723.796999999904,12898.319999999949,10117.904999999912,23226.704000000027,-6157.389999999898,1347.8439999998081,3196.4039999999804
2012,52,38,90,Sr,True,7811.499000000069,14170.194000000018,11525.646999999997,20835.57799999998,-5108.13599999994,1109.0400000001537,3746.9400000000605
2012,51,39,90,Y,True,6857.017000000109,18338.691999999923,7575.069000000018,18463.73999999999,-6172.71399999992,3873.811999999918,3926.9159999999683
2012,50,40,90,Zr,True,11968.447999999975,21287.823999999906,8353.357000000076,15430.103999999934,-6675.237999999896,5459.095999999903,2817.8799999998882
2012,49,41,90,Nb,True,10108.11400000006,22628.87200000009,5074.808000000077,12941.391999999993,-5803.920000000042,2694.748000000138,2099.996000000043
2012,48,42,90,Mo,True,13229.303999999887,23628.975999999908,6836.433999999892,11122.50399999984,-4629.17799999984,851.431999999797,2416.267999999807
2012,47,43,90,Tc,True,11401.13500000001,25186.006000000052,2998.734000000055,9126.62200000009,-4016.6759999999776,842.3600000001024,2274.2920000001322
2012,46,44,90,Ru,True,,,4777.944999999949,6775.216000000015,-3198.485999999917,,
2012,45,45,90,Rh,False,,,,,,,
2012,58,33,91,As,False,,,,,,,
2012,57,34,91,Se,False,,,,,,,
2012,56,35,91,Br,True,5178.253000000026,8975.662000000011,12596.053000000073,,-7914.295999999973,969.9679999999935,
2012,55,36,91,Kr,True,4086.030999999959,10580.805999999982,14262.601000000024,26559.51000000001,-6972.7639999999665,1276.1030000000028,2869.567000000039
2012,54,37,91,Rb,True,6451.702000000048,12175.498999999953,10074.831999999937,24048.810999999987,-6278.311999999918,1157.9879999998957,2988.322999999975
2012,53,38,91,Sr,True,5774.789999999921,13586.28899999999,11576.640000000014,21694.544999999925,-5367.798999999999,1010.0849999999627,3646.3139999998966
2012,52,39,91,Y,True,7928.317000000039,14785.334000000148,7691.886999999988,19217.533999999985,-4178.995999999926,766.8810000001686,3778.4130000000587
2012,51,40,91,Zr,True,7193.920000000042,19162.368000000017,8690.26000000001,16265.329000000027,-5441.014999999898,3793.177000000025,2777.1560000000754
2012,50,41,91,Nb,True,12047.704000000027,22155.818000000087,5154.064000000129,13507.421000000206,-6045.176000000094,5438.784000000218,1962.7680000003893
2012,49,42,91,Mo,True,10107.177000000142,23336.48100000003,6835.496999999974,11910.305000000051,-5287.107999999891,2596.2450000001118,2324.396000000066
2012,48,43,91,Tc,True,13332.930999999982,24734.06599999999,3102.36100000015,9938.795000000042,-4537.939999999944,972.3900000001304,2335.310999999987
2012,47,44,91,Ru,True,11427.054999999935,,4803.864999999874,7802.598999999929,-3779.7139999998035,,
2012,46,45,91,Rh,False,,,,,,,
2012,45,46,91,Pd,False,,,,,,,
2012,59,33,92,As,False,,,,,,,
2012,58,34,92,Se,False,,,,,,,
2012,57,35,92,Br,True,3196.8190000000177,8375.072000000044,,,,,
2012,56,36,92,Kr,True,5866.667000000016,9952.697999999975,14951.015000000014,27547.068000000087,-7309.995999999926,1231.591999999946,2892.680000000051
2012,55,37,92,Rb,True,5098.774000000092,11550.47600000014,11087.57500000007,25350.176000000094,-6481.520000000135,1617.5760000003502,3191.9180000001797
2012,54,38,92,Sr,True,7286.363999999943,13061.153999999864,12411.301999999909,22486.133999999845,-5601.071999999811,940.2019999996992,3504.685999999754
2012,53,39,92,Y,True,6536.5629999999655,14464.880000000005,8453.660000000033,20030.300000000047,-4632.959999999963,786.4459999999963,3900.2519999999786
2012,52,40,92,Zr,True,8634.80799999996,15828.728000000003,9396.750999999931,17088.63799999992,-2963.171999999904,874.7639999999665,2557.485999999917
2012,51,41,92,Nb,True,7886.4199999999255,19934.123999999953,5846.564000000013,14536.824000000022,-4579.8559999999125,3876.019999999902,2255.5460000000894
2012,50,42,92,Mo,True,12670.36699999997,22777.54400000011,7458.159999999916,12612.224000000046,-5604.387999999919,5029.888000000152,2258.514000000083
2012,49,43,92,Tc,True,11010.714999999967,24343.64599999995,4005.898999999976,10841.39599999995,-5174.608000000007,2969.640000000014,2281.5639999998966
2012,48,44,92,Ru,True,14132.940999999992,25559.995999999926,5603.874999999884,8706.236000000034,-4039.5519999999087,1134.9779999998864,2328.466000000015
2012,47,45,92,Rh,True,,,2048.465000000084,6852.329999999958,-3742.6759999999776,,
2012,46,46,92,Pd,False,,,,,,,
2012,59,34,93,Se,False,,,,,,,
2012,58,35,93,Br,True,4808.875,8005.694000000018,,,,,
2012,57,36,93,Kr,True,3438.0359999999637,9304.70299999998,15192.23199999996,,-7568.552999999956,1139.2219999999506,
2012,56,37,93,Rb,True,5918.736999999965,11017.511000000057,11139.645000000019,26090.660000000033,-6770.662000000011,1600.9340000001248,2921.408000000054
2012,55,38,93,Sr,True,5289.840000000084,12576.204000000027,12602.3679999999,23689.94299999997,-5975.08899999992,1397.283000000054,3536.371999999974
2012,54,39,93,Y,True,7481.890000000014,14018.45299999998,8649.186000000103,21060.488000000012,-4940.326999999932,892.1779999999562,3925.1179999999003
2012,53,40,93,Zr,True,6734.383000000031,15369.190999999992,9594.570999999996,18048.23100000003,-3338.859999999986,687.6469999999972,2882.3769999999786
2012,52,41,93,Nb,True,8830.613999999943,16717.03399999987,6042.369999999995,15439.120999999926,-1928.795000000042,1002.3319999997038,2054.103999999934
2012,51,42,93,Mo,True,8069.868999999948,20740.235999999917,7641.6089999999385,13488.172999999952,-4354.880999999936,3693.363999999827,2260.0509999998612
2012,50,43,93,Tc,True,12750.960999999894,23761.67599999986,4086.4929999999003,11544.652999999817,-5404.810999999871,5204.2779999998165,2231.4199999996927
2012,49,44,93,Ru,True,10986.850000000093,25119.791000000085,5580.010000000009,9585.908999999985,-4626.729999999981,2737.3420000000624,2260.009999999893
2012,48,45,93,Rh,True,14084.08500000008,,1999.6090000001714,7603.484000000055,-4041.890000000014,,
2012,47,46,93,Pd,False,,,,,,,
2012,46,47,93,Ag,False,,,,,,,
2012,60,34,94,Se,False,,,,,,,
2012,59,35,94,Br,False,,,,,,,
2012,58,36,94,Kr,True,5283.070000000065,8721.106000000029,15666.427000000025,,-7972.514000000083,846.6199999999953,
2012,57,37,94,Rb,True,4014.162999999826,9932.89999999979,11715.77199999988,26908.00399999984,-6987.415999999852,998.6999999996042,2551.3079999996116
2012,56,38,94,Sr,True,6831.112000000081,12120.952000000165,13514.743000000017,24654.388000000035,-6311.425999999978,1894.2440000001807,3477.6320000000997
2012,55,39,94,Y,True,6196.543999999994,13678.434000000008,9555.890000000014,22158.257999999914,-5413.074000000022,1547.0959999999031,4326.343999999925
2012,54,40,94,Zr,True,8219.581000000006,14953.964000000036,10332.261999999988,18981.44800000009,-3746.9419999999227,637.704000000027,2880.8360000001267
2012,53,41,94,Nb,True,7227.490000000107,16058.10400000005,6535.477000000072,16130.048000000068,-2299.26800000004,677.8040000001201,2100.9480000002077
2012,52,42,94,Mo,True,9677.787000000011,17747.65599999996,8488.782000000007,14531.152000000002,-2064.219999999972,1224.23199999996,2286.9279999999562
2012,51,43,94,Tc,True,8623.045000000042,21374.005999999936,4639.668999999994,12281.277999999933,-3919.741999999853,3568.079999999958,2173.8799999998882
2012,50,44,94,Ru,True,13438.167999999947,24425.01800000004,6267.217000000062,10353.709999999963,-4835.594000000041,4786.847999999998,2177.171999999904
2012,49,45,94,Rh,True,11967.062999999966,26051.148000000045,2979.8220000000438,8559.832000000053,-4607.81799999997,3129.5760000001173,2377.780000000028
2012,48,46,94,Pd,True,,,4378.160999999847,6377.770000000019,-3642.1059999999125,,
2012,47,47,94,Ag,False,,,,,,,
2012,61,34,95,Se,False,,,,,,,
2012,60,35,95,Br,False,,,,,,,
2012,59,36,95,Kr,True,2882.4109999999637,8165.481000000029,,,,758.1980000000913,
2012,58,37,95,Rb,True,5402.414000000106,9416.576999999932,11835.115999999922,27501.542999999947,-7211.576999999932,648.7649999998976,2690.3189999999013
2012,57,38,95,Sr,True,4347.808999999892,11178.920999999973,13848.389000000083,25564.160999999964,-6573.203999999911,1576.3179999999702,3160.079999999958
2012,56,39,95,Y,True,6929.731000000029,13126.275000000023,9654.508999999962,23169.25199999998,-5891.103000000003,2067.726000000024,4194.533000000054
2012,55,40,95,Zr,True,6461.962999999989,14681.543999999994,10597.680999999982,20153.570999999996,-4434.114999999991,1252.113000000012,3693.6659999999683
2012,54,41,95,Nb,True,8487.212000000058,15714.702000000165,6803.108000000124,17135.37000000011,-2858.1630000000587,749.0780000003288,2123.6710000003222
