old_vintage,new_vintage,N,Z,A,element,label,delta_mass_excess_keV,new_primary_eligible,new_broad_eligible,old_mass_excess_keV,new_mass_excess_keV
2012,2016,23,14,37,Si,changed,22.77599999999984,False,True,-6594.287,-6571.511
2012,2016,22,15,37,P,changed,0.1069999999999709,True,True,-18996.105,-18995.998
2012,2016,21,16,37,S,changed,-0.007000000001426088,True,True,-26896.41,-26896.417
2012,2016,20,17,37,Cl,changed,-0.016999999999825377,True,True,-31761.521,-31761.538
2012,2016,19,18,37,Ar,changed,-0.01599999999962165,True,True,-30947.648,-30947.664
2012,2016,18,19,37,K,unchanged,0.0,True,True,-24800.199,-24800.199
2012,2016,17,20,37,Ca,unchanged,0.0,True,True,-13136.066,-13136.066
2012,2016,25,13,38,Al,unchanged,0.0,False,True,16209.859,16209.859
2012,2016,24,14,38,Si,unchanged,0.0,False,True,-4170.299,-4170.299
2012,2016,23,15,38,P,changed,47.99300000000039,True,True,-14669.556,-14621.563
2012,2016,22,16,38,S,changed,-0.01599999999962165,True,True,-26861.187,-26861.203
2012,2016,21,17,38,Cl,changed,-0.01599999999962165,True,True,-29798.087,-29798.103
2012,2016,20,18,38,Ar,changed,-0.0010000000038417056,True,True,-34714.82,-34714.821
2012,2016,19,19,38,K,changed,-0.0010000000002037268,True,True,-28800.754,-28800.755
2012,2016,18,20,38,Ca,changed,0.0010000000002037268,True,True,-22058.5,-22058.499
2012,2016,25,14,39,Si,unchanged,0.0,False,True,2320.352,2320.352
2012,2016,24,15,39,P,changed,54.638999999999214,False,True,-12829.273,-12774.634
2012,2016,23,16,39,S,changed,-0.3209999999999127,True,True,-23162.346,-23162.667
2012,2016,22,17,39,Cl,changed,-0.013000000002648449,True,True,-29800.192,-29800.205
2012,2016,21,18,39,Ar,unchanged,0.0,True,True,-33242.19,-33242.19
2012,2016,20,19,39,K,changed,0.00011999999696854502,True,True,-33807.19022,-33807.1901
2012,2016,19,20,39,Ca,unchanged,0.0,True,True,-27282.702,-27282.702
2012,2016,18,21,39,Sc,changed,0.0009999999983847374,True,True,-14172.71,-14172.709
2012,2016,26,14,40,Si,unchanged,0.0,False,True,5429.679,5429.679
2012,2016,25,15,40,P,changed,-39.94499999999971,False,True,-8074.425,-8114.37
2012,2016,24,16,40,S,unchanged,0.0,True,True,-22837.846,-22837.846
2012,2016,23,17,40,Cl,unchanged,0.0,True,True,-27557.813,-27557.813
2012,2016,22,18,40,Ar,unchanged,0.0,True,True,-35039.89464,-35039.89464
2012,2016,21,19,40,K,unchanged,0.0,True,True,-33535.492,-33535.492
2012,2016,20,20,40,Ca,changed,0.0020000000004074536,True,True,-34846.386,-34846.384
2012,2016,19,21,40,Sc,changed,0.0010000000002037268,True,True,-20523.336,-20523.335
2012,2016,18,22,40,Ti,changed,0.0020000000004074536,False,True,-8850.386,-8850.384
2012,2016,27,14,41,Si,unchanged,0.0,False,True,12119.668,12119.668
2012,2016,26,15,41,P,unchanged,0.0,False,True,-4979.767,-4979.767
2012,2016,25,16,41,S,unchanged,0.0,True,True,-19008.577,-19008.577
2012,2016,24,17,41,Cl,unchanged,0.0,True,True,-27307.189,-27307.189
2012,2016,23,18,41,Ar,unchanged,0.0,True,True,-33067.505,-33067.505
2012,2016,22,19,41,K,changed,-1.9999999494757503e-05,True,True,-35559.54329,-35559.54331
2012,2016,21,20,41,Ca,changed,-0.0029999999969732016,True,True,-35137.887,-35137.89
2012,2016,20,21,41,Sc,changed,-0.0010000000002037268,True,True,-28642.411,-28642.412
2012,2016,19,22,41,Ti,unchanged,0.0,True,True,-15697.537,-15697.537
2012,2016,27,15,42,P,changed,0.0009999999999763531,False,True,1009.739,1009.74
2012,2016,26,16,42,S,unchanged,0.0,True,True,-17637.746,-17637.746
2012,2016,25,17,42,Cl,changed,81.22300000000178,True,True,-24912.99,-24831.767
2012,2016,24,18,42,Ar,unchanged,0.0,True,True,-34422.675,-34422.675
2012,2016,23,19,42,K,unchanged,0.0,True,True,-35022.026,-35022.026
2012,2016,22,20,42,Ca,changed,-0.0020000000004074536,True,True,-38547.243,-38547.245
2012,2016,21,21,42,Sc,changed,-0.00999999999839929,True,True,-32121.143,-32121.153
2012,2016,20,22,42,Ti,changed,-0.010999999998603016,True,True,-25104.663,-25104.674
2012,2016,28,15,43,P,unchanged,0.0,False,True,4679.826,4679.826
2012,2016,27,16,43,S,unchanged,0.0,True,True,-12195.459,-12195.459
2012,2016,26,17,43,Cl,changed,163.11899999999878,True,True,-24322.627,-24159.508
2012,2016,25,18,43,Ar,unchanged,0.0,True,True,-32009.808,-32009.808
2012,2016,24,19,43,K,unchanged,0.0,True,True,-36575.389,-36575.389
2012,2016,23,20,43,Ca,changed,-0.006999999997788109,True,True,-38408.815,-38408.822
2012,2016,22,21,43,Sc,changed,-0.0020000000004074536,True,True,-36188.1,-36188.102
2012,2016,21,22,43,Ti,changed,0.0020000000004074536,True,True,-29321.084,-29321.082
2012,2016,20,23,43,V,unchanged,0.0,True,True,-17916.356,-17916.356
2012,2016,28,16,44,S,changed,0.0010000000002037268,True,True,-9204.234,-9204.233
2012,2016,27,17,44,Cl,changed,225.20699999999852,False,True,-20609.73,-20384.523
2012,2016,26,18,44,Ar,unchanged,0.0,True,True,-32673.255,-32673.255
2012,2016,25,19,44,K,unchanged,0.0,True,True,-35781.492,-35781.492
2012,2016,24,20,44,Ca,changed,-0.016999999999825377,True,True,-41468.658,-41468.675
2012,2016,23,21,44,Sc,changed,-0.006999999997788109,True,True,-37815.978,-37815.985
2012,2016,22,22,44,Ti,changed,0.000999999996565748,True,True,-37548.57,-37548.569
2012,2016,21,23,44,V,unchanged,0.0,False,True,-24116.38,-24116.38
2012,2016,29,16,45,S,unchanged,0.0,False,True,-3989.589,-3989.589
2012,2016,28,17,45,Cl,changed,97.2039999999979,False,True,-18359.747,-18262.543
2012,2016,27,18,45,Ar,unchanged,0.0,True,True,-29770.796,-29770.796
2012,2016,26,19,45,K,unchanged,0.0,True,True,-36615.638,-36615.638
2012,2016,25,20,45,Ca,changed,-0.021999999997206032,True,True,-40812.152,-40812.174
2012,2016,24,21,45,Sc,changed,-0.7189999999973224,True,True,-41071.177,-41071.896
2012,2016,23,22,45,Ti,changed,-0.7189999999973224,True,True,-39009.121,-39009.84
2012,2016,22,23,45,V,changed,-5.467000000000553,True,True,-31880.549,-31886.016
2012,2016,21,24,45,Cr,unchanged,0.0,True,True,-19514.799,-19514.799
2012,2016,29,17,46,Cl,changed,-49.0679999999993,False,True,-13810.33,-13859.398
2012,2016,28,18,46,Ar,changed,-42.16400000000067,True,True,-29730.762,-29772.926
2012,2016,27,19,46,K,unchanged,0.0,True,True,-35413.924,-35413.924
2012,2016,26,20,46,Ca,changed,-0.9649999999965075,True,True,-43138.396,-43139.361
2012,2016,25,21,46,Sc,changed,-0.7199999999938882,True,True,-41760.499,-41761.219
2012,2016,24,22,46,Ti,changed,-0.8029999999998836,True,True,-44126.996,-44127.799
2012,2016,23,23,46,V,changed,-0.7490000000034343,True,True,-37074.602,-37075.351
2012,2016,22,24,46,Cr,changed,1.9639999999999418,True,True,-29473.531,-29471.567
2012,2016,29,18,47,Ar,changed,-155.32700000000114,True,True,-25211.011,-25366.338
2012,2016,28,19,47,K,unchanged,0.0,True,True,-35711.976,-35711.976
2012,2016,27,20,47,Ca,changed,-0.9649999999965075,True,True,-42343.453,-42344.418
2012,2016,26,21,47,Sc,changed,-0.9650000000037835,True,True,-44335.63,-44336.595
2012,2016,25,22,47,Ti,changed,-0.9639999999999418,True,True,-44936.4,-44937.364
2012,2016,24,23,47,V,changed,-0.8170000000027358,True,True,-42005.801,-42006.618
2012,2016,23,24,47,Cr,changed,-1.690999999998894,True,True,-34560.887,-34562.578
2012,2016,22,25,47,Mn,changed,-0.9320000000006985,True,True,-22565.442,-22566.374
2012,2016,30,18,48,Ar,new,,False,True,,-22281.337
2012,2016,29,19,48,K,unchanged,0.0,True,True,-32284.477,-32284.477
2012,2016,28,20,48,Ca,changed,0.12999999999738066,True,True,-44224.759,-44224.629
2012,2016,27,21,48,Sc,changed,-0.4219999999986612,True,True,-44503.42,-44503.842
2012,2016,26,22,48,Ti,changed,-0.9750000000058208,True,True,-48491.734,-48492.709
2012,2016,25,23,48,V,changed,-0.9260000000067521,True,True,-44476.768,-44477.694
2012,2016,24,24,48,Cr,changed,-0.3659999999945285,True,True,-42821.654,-42822.02
2012,2016,23,25,48,Mn,changed,27.093000000000757,True,True,-29323.431,-29296.338
2012,2016,30,19,49,K,changed,0.0010000000002037268,True,True,-29611.491,-29611.49
2012,2016,29,20,49,Ca,changed,0.12999999999738066,True,True,-41299.895,-41299.765
2012,2016,28,21,49,Sc,changed,-0.19200000000273576,True,True,-46561.073,-46561.265
2012,2016,27,22,49,Ti,changed,-0.977999999995518,True,True,-48562.809,-48563.787
2012,2016,26,23,49,V,changed,-0.977999999995518,True,True,-47960.953,-47961.931
