N,Z,A,B_total_MeV,B_1_volume,residual_B_1_volume,residual_BA_1_volume,B_2_surface,residual_B_2_surface,residual_BA_2_surface,B_3_coulomb,residual_B_3_coulomb,residual_BA_3_coulomb,B_4_asymmetry,residual_B_4_asymmetry,residual_BA_4_asymmetry,B_5_pairing,residual_B_5_pairing,residual_BA_5_pairing,is_magic_Z,is_magic_N
12,9,21,162.5041614,330.1582072815135,-167.65404588151353,-7.9835259943577865,194.28527697628044,-31.781115576280456,-1.513386456013355,175.6207277753647,-13.116566375364727,-0.6245983988268917,165.66540329029544,-3.1612418902954573,-0.1505353281093075,165.66540329029544,-3.1612418902954573,-0.1505353281093075,False,False
11,10,21,167.4059856,330.1582072815135,-162.7522216815135,-7.750105794357786,194.28527697628044,-26.879291376280435,-1.279966256013354,170.95459047513577,-3.5486048751357657,-0.16898118453027455,169.8484433101281,-2.4424577101280818,-0.11630751000609914,169.8484433101281,-2.4424577101280818,-0.11630751000609914,False,False
10,11,21,163.07672010000002,330.1582072815135,-167.0814871815135,-7.956261294357786,194.28527697628044,-31.208556876280426,-1.4861217560133535,165.7699934748814,-2.693273374881386,-0.1282511130895898,164.66384630987372,-1.587126209873702,-0.07557743856541438,164.66384630987372,-1.587126209873702,-0.07557743856541438,False,False
9,12,21,149.2056657,330.1582072815135,-180.95254158151351,-8.616787694357786,194.28527697628044,-45.079611276280446,-2.1466481560133546,160.0669367746016,-10.861271074601603,-0.5172033845048383,150.11161228953233,-0.9059465895323342,-0.04314031378725401,150.11161228953233,-0.9059465895323342,-0.04314031378725401,False,False
14,8,22,162.02718839999997,345.8800266758713,-183.85283827587133,-8.356947194357788,205.7271985426923,-43.70001014269232,-1.9863640973951056,191.4336989524286,-29.406510552428642,-1.3366595705649382,153.42246000943683,8.604728390563139,0.3911240177528699,155.894819949488,6.1323684505119616,0.27874402047781643,False,False
13,9,22,167.7344988,345.8800266758713,-178.1455278758713,-8.097523994357786,205.7271985426923,-37.99269974269228,-1.7269408973951037,187.349841926639,-19.615343126638976,-0.8916065057563171,170.45595795197596,-2.7214591519759495,-0.12370268872617952,167.98359801192478,-0.24909921192477213,-0.011322691451126006,False,False
12,10,22,177.7702432,345.8800266758713,-168.1097834758713,-7.641353794357786,205.7271985426923,-27.956955342692282,-1.2707706973951038,182.75550277262568,-4.985259572625665,-0.22660270784662115,178.53203177895992,-0.7617885789599086,-0.034626753589086755,181.0043917190111,-3.234148519011086,-0.14700675086414028,False,False
11,11,22,174.1445728,345.8800266758713,-171.73545387587131,-7.806156994357787,205.7271985426923,-31.5826257426923,-1.4355738973951047,177.65068149038865,-3.5061086903886576,-0.15936857683584807,177.65068149038865,-3.5061086903886576,-0.15936857683584807,175.17832155033747,-1.0337487503374803,-0.04698857956079456,False,False
10,12,22,168.58081900000002,345.8800266758713,-177.2992076758713,-8.059054894357786,205.7271985426923,-37.14637954269227,-1.6884717973951033,172.0353780799279,-3.45455907992789,-0.15702541272399498,167.81190708626215,0.7689119137378668,0.0349505415335394,170.28426702631333,-1.7034480263133105,-0.07742945574151411,False,False
14,9,23,175.3139281,361.6018460702291,-186.2879179702291,-8.099474694357786,217.23350393698365,-41.919575836983654,-1.822590253781898,199.12644182877315,-23.812513728773155,-1.0353266838597024,173.87743045359747,1.436497646402529,0.06245641940880561,173.87743045359747,1.436497646402529,0.06245641940880561,False,False
13,10,23,182.9708903,361.6018460702291,-178.6309557702291,-7.766563294357787,217.23350393698365,-34.262613636983644,-1.4896788537818977,194.59967630172054,-11.628786001720528,-0.5055993913791533,185.51003220665729,-2.539141906657278,-0.11039747420249035,185.51003220665729,-2.539141906657278,-0.11039747420249035,False,False
12,11,23,186.5643528,361.6018460702291,-175.0374932702291,-7.610325794357787,217.23350393698365,-30.669151136983658,-1.333441353781898,189.56993682721762,-3.0055840272176226,-0.1306775664007662,188.5599763722106,-1.9956235722106044,-0.08676624227002627,188.5599763722106,-1.9956235722106044,-0.08676624227002627,False,False
11,12,23,181.7258267,361.6018460702291,-179.8760193702291,-7.8206964943577875,217.23350393698365,-35.50767723698365,-1.543812053781898,184.0372234052644,-2.3113967052644,-0.10049550892453914,183.02726295025738,-1.3014362502573817,-0.05658418479379921,183.02726295025738,-1.3014362502573817,-0.05658418479379921,False,False
10,13,23,168.7217325,361.6018460702291,-192.8801135702291,-8.386091894357786,217.23350393698365,-48.51177143698365,-2.109207453781898,178.00153603586088,-9.279803535860879,-0.40346971895047296,168.91189194079763,-0.19015944079762903,-0.008267801773809957,168.91189194079763,-0.19015944079762903,-0.008267801773809957,False,False
15,9,24,179.1259944,377.3236654645869,-198.1976710645869,-8.258236294357788,228.80048530713555,-49.67449090713555,-2.0697704544639812,210.94848621772496,-31.822491817724966,-1.3259371590718736,176.1048505199825,3.0211438800174903,0.12588099500072877,173.73774609324667,5.388248306753326,0.2245103461147219,False,False
14,10,24,191.8398048,377.3236654645869,-185.4838606645869,-7.728494194357787,228.80048530713555,-36.96068050713555,-1.5400283544639812,206.48548644537232,-14.64568164537232,-0.6102367352238467,190.99942613526457,0.8403786647354252,0.03501577769730938,193.3665305620004,-1.5267257620004102,-0.06361357341668376,False,False
13,11,24,193.5237168,377.3236654645869,-183.7999486645869,-7.658331194357788,228.80048530713555,-35.27676850713556,-1.4698653544639815,201.5265978094249,-8.002881009424925,-0.3334533753927052,197.65508273189798,-4.131365931897989,-0.1721402471624162,195.28797830516214,-1.7642615051621533,-0.07351089604842305,False,False
12,12,24,198.2570472,377.3236654645869,-179.0666182645869,-7.461109094357788,228.80048530713555,-30.543438107135557,-1.2726432544639816,196.0718203098828,2.1852268901171783,0.0910511204215491,196.0718203098828,2.1852268901171783,0.0910511204215491,198.43892473661865,-0.18187753661865713,-0.0075782306924440474,False,False
11,13,24,183.5899344,377.3236654645869,-193.7337310645869,-8.072238794357787,228.80048530713555,-45.21055090713554,-1.883772954463981,190.12115394674595,-6.531219546745945,-0.272134147781081,186.249638869219,-2.659704469219008,-0.110821019550792,183.88253444248318,-0.29260004248317273,-0.012191668436798864,False,False
