regime,model,removed_term,n,B_mae,B_rmse,BA_mae,BA_rmse,rank,condition_number
R6_N50_broad,term_removed_refit,surface,21,4.345659802387006,5.647481826170593,0.050696214072428566,0.06835537764946754,4,11637.060802311602
R6_N50_broad,term_removed_refit,coulomb,21,10.84233101118862,12.314486218315835,0.12286415206642602,0.1406027715462697,4,2143.946720504592
R6_N50_broad,term_removed_refit,asymmetry,21,14.40251833849409,16.6466169008361,0.1648639691637872,0.1951346074805967,4,11644.90043063348
R6_N50_broad,term_removed_refit,pairing,21,4.389314316956172,5.5927244975171355,0.04868071920620546,0.06083941822346062,4,1254.8303471985448
R6_N82_broad,full,none,24,5.436949181914646,6.537798427019072,0.0394807486889364,0.0485177177394596,5,11608.1088667823
R6_N82_broad,term_removed_refit,surface,24,13.735940376808875,15.085916265873342,0.09868560742849881,0.10894371920296884,4,11587.409391369298
R6_N82_broad,term_removed_refit,coulomb,24,26.399504971876933,28.98782723987972,0.18961064506267566,0.20929123688101547,4,2134.6287113952085
R6_N82_broad,term_removed_refit,asymmetry,24,23.090486676202527,24.83715634779684,0.16220967337436132,0.17406451659755603,4,11596.60785036674
R6_N82_broad,term_removed_refit,pairing,24,5.952045943412476,7.011744095605233,0.04315223946737312,0.051925604197242264,4,1252.797211022221
R6_N126_broad,full,none,14,5.447378326874124,6.19772321009157,0.02589847002970355,0.029634676959340352,5,11546.025112304562
R6_N126_broad,term_removed_refit,surface,14,9.25477255931472,10.609340497544501,0.043904812448390285,0.050576627891953246,4,11527.113946729212
R6_N126_broad,term_removed_refit,coulomb,14,14.977616093897252,17.368445741331822,0.07034420951201893,0.08122674183079533,4,2127.504294996814
R6_N126_broad,term_removed_refit,asymmetry,14,4.864731376521344,5.605082593021155,0.02288067393986548,0.026309906668296825,4,11536.480432390033
R6_N126_broad,term_removed_refit,pairing,14,5.834568189169919,6.585434834408437,0.027728289752501998,0.03147409115599009,4,1245.6226504489548
R4_magic_pm2_broad,full,none,858,3.401723021868173,4.564351997579783,0.036458936227257384,0.05802052538305286,5,13043.06820690543
R4_magic_pm2_broad,term_removed_refit,surface,858,13.966944946955314,17.70196685432788,0.23292558769382612,0.4007415253400827,4,13036.6358290371
R4_magic_pm2_broad,term_removed_refit,coulomb,858,24.09864534274842,30.131629072821358,0.38945377527093694,0.6791818150364645,4,2380.646714461923
R4_magic_pm2_broad,term_removed_refit,asymmetry,858,21.73005420521736,27.698216413182383,0.3582439055232387,0.6372431860098949,4,13040.981940988253
R4_magic_pm2_broad,term_removed_refit,pairing,858,3.541343075632869,4.715491435830125,0.038089159081896674,0.06082315110195251,4,1446.0515176836298
